No.,正誤,分野名,大分類,中分類,出典,学習日
37,×,テクノロジ系,開発技術,ソフトウェア開発管理技術,"=HYPERLINK(""https://www.fe-siken.com/kakomon/02_menjo/q47.html"",""令和2年免除 問47"")",2026/1/31
38,×,テクノロジ系,開発技術,ソフトウェア開発管理技術,"=HYPERLINK(""https://www.fe-siken.com/kakomon/06_menjo/q14.html"",""令和6年免除 問14"")",2026/1/31
39,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q52.html"",""平成30年秋期 問52"")",2026/1/31
40,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q51.html"",""令和元年秋期 問51"")",2026/1/31
41,○,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_haru/q55.html"",""平成30年春期 問55"")",2026/1/31
42,○,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q55.html"",""令和元年秋期 問55"")",2026/1/31
43,○,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q55.html"",""平成30年秋期 問55"")",2026/1/31
44,○,マネジメント系,サービスマネジメント,システム監査,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q60.html"",""令和元年秋期 問60"")",2026/1/31
45,○,マネジメント系,サービスマネジメント,システム監査,"=HYPERLINK(""https://www.fe-siken.com/kakomon/03_menjo/q58.html"",""令和3年免除 問58"")",2026/1/31
46,○,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.fe-siken.com/kakomon/04_menjo/q61.html"",""令和4年免除 問61"")",2026/1/31
47,○,ストラテジ系,経営戦略,経営戦略マネジメント,"=HYPERLINK(""https://www.fe-siken.com/kakomon/31_haru/q69.html"",""平成31年春期 問69"")",2026/1/31
48,×,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.fe-siken.com/kakomon/31_haru/q65.html"",""平成31年春期 問65"")",2026/1/31
49,×,ストラテジ系,システム戦略,システム企画,"=HYPERLINK(""https://www.fe-siken.com/kakomon/04_menjo/q64.html"",""令和4年免除 問64"")",2026/1/31
50,○,ストラテジ系,経営戦略,経営戦略マネジメント,"=HYPERLINK(""https://www.fe-siken.com/kakomon/05_menjo/q49.html"",""令和5年免除 問49"")",2026/1/31
51,○,ストラテジ系,経営戦略,経営戦略マネジメント,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q67.html"",""令和元年秋期 問67"")",2026/1/31
52,○,ストラテジ系,企業と法務,企業活動,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_aki/q61.html"",""平成29年秋期 問61"")",2026/1/31
53,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/05_menjo/q53.html"",""令和5年免除 問53"")",2026/1/31
54,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/06_menjo/q53.html"",""令和6年免除 問53"")",2026/1/31
55,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/03_menjo/q73.html"",""令和3年免除 問73"")",2026/1/31
56,×,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/04_menjo/q73.html"",""令和4年免除 問73"")",2026/1/31
57,×,ストラテジ系,企業と法務,企業活動,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_haru/q76.html"",""平成30年春期 問76"")",2026/1/31
58,×,ストラテジ系,企業と法務,企業活動,"=HYPERLINK(""https://www.fe-siken.com/kakomon/03_menjo/q78.html"",""令和3年免除 問78"")",2026/1/31
59,○,ストラテジ系,企業と法務,企業活動,"=HYPERLINK(""https://www.fe-siken.com/kakomon/04_menjo/q78.html"",""令和4年免除 問78"")",2026/1/31
60,×,ストラテジ系,企業と法務,法務,"=HYPERLINK(""https://www.fe-siken.com/kakomon/02_menjo/q80.html"",""令和2年免除 問80"")",2026/1/31
