No.,正誤,分野名,大分類,中分類,出典,学習日
1,-,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q1.html"",""平成29年春期 問1"")",2026/1/19
2,×,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/18_aki/q4.html"",""平成18年秋期 問4"")",2026/1/19
3,×,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q2.html"",""平成29年春期 問2"")",2026/1/19
4,×,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/05_menjo/q6.html"",""令和5年免除 問6"")",2026/1/19
5,×,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/22_haru/q6.html"",""平成22年春期 問6"")",2026/1/19
6,×,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/04_menjo/q8.html"",""令和4年免除 問8"")",2026/1/19
7,×,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/23_toku/q12.html"",""平成23年特別 問12"")",2026/1/19
8,×,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/03_menjo/q15.html"",""令和3年免除 問15"")",2026/1/19
9,×,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/26_aki/q13.html"",""平成26年秋期 問13"")",2026/1/19
10,×,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/25_aki/q15.html"",""平成25年秋期 問15"")",2026/1/19
11,×,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/24_haru/q22.html"",""平成24年春期 問22"")",2026/1/19
12,×,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q18.html"",""令和元年秋期 問18"")",2026/1/19
13,×,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/16_haru/q31.html"",""平成16年春期 問31"")",2026/1/19
14,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q18.html"",""平成28年秋期 問18"")",2026/1/19
15,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/21_haru/q24.html"",""平成21年春期 問24"")",2026/1/19
16,×,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_aki/q23.html"",""平成29年秋期 問23"")",2026/1/19
17,×,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q22.html"",""平成30年秋期 問22"")",2026/1/19
18,×,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/19_haru/q24.html"",""平成19年春期 問24"")",2026/1/19
19,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q26.html"",""平成29年春期 問26"")",2026/1/19
20,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.fe-siken.com/kakomon/25_haru/q29.html"",""平成25年春期 問29"")",2026/1/19
21,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q28.html"",""令和元年秋期 問28"")",2026/1/19
22,×,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_haru/q33.html"",""平成28年春期 問33"")",2026/1/19
23,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.fe-siken.com/kakomon/04_menjo/q31.html"",""令和4年免除 問31"")",2026/1/19
24,×,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.fe-siken.com/kakomon/06_menjo/q23.html"",""令和6年免除 問23"")",2026/1/19
